id,turn number,generated response
417,8,"52: It's a tragic loss, and it's even sadder that the perpetrator was so young."
417,9,210: It's interesting to note that the perpetrator was able to get away with the crime for so long.
417,10,"52: Yes, it's a testament to how difficult it can be to catch criminals who commit such heinous acts."
417,11,210: The article mentions that the perpetrator was able to evade the police for so long due to the lack of surveillance cameras in the area.
417,12,"52: Yes, it's unfortunate that there wasn't more surveillance in place to prevent such a crime."
417,13,210: The article also mentions that the perpetrator was able to escape the police because he was a drug dealer.
417,14,52: It's unfortunate that the lack of surveillance in the area was able to help the perpetrator evade the police.
417,15,"210: It's a shame that the perpetrator was able to get away with such a crime, but hopefully this will lead to changes in how we approach and prevent such crimes in the future."
419,6,52: It's a sad reality.
419,7,"212: Definitely, and it's scary to think that there are people who would commit such heinous acts."
419,8,52: It's a reminder to always be aware of our surroundings and to take precautions.
419,9,"212: Absolutely, we never know when something like this could happen."
419,10,52: It's important to stay vigilant and look out for one another.
419,11,"212: Definitely, we can't control what others do, but we can control our own actions and be prepared."
419,12,"52: That's a great point, and it's important to spread awareness and educate others about these issues."
419,13,"212: Yes, knowledge is power and it's important to stay informed."
419,14,"52: Absolutely, thank you for the insightful conversation."
419,15,"212: You're welcome, thank you for sharing your thoughts."
421,6,"215: I think it was a reference to the mother of one of the victims, and her son who died trying to save his mother."
421,7,214: That was a very touching moment in the article
421,8,215: Yes it was a very touching moment. I hope they get to see their son one day.
421,9,214: That was a touching moment.
421,10,"215: Yeah, and the mother was very brave to risk her life to save her son."
421,11,214: It is so sad that the mother had to do this.
421,12,215: Yes it is very sad.
421,13,214: What did you think of the article?
421,14,215: I think it's sad.
421,15,"214: I agree, it is sad."
422,6,"199: Yes, it really brings to light how the system is failing so many people, and how it can have lifelong consequences for those who are affected."
422,7,"52: It's also a story about resilience and strength. Despite all the challenges they faced, they were able to overcome and succeed."
422,8,"199: Yes, it's truly inspiring to see how they were able to rise above their circumstances and create a better life for themselves."
422,9,"52: Definitely, it just goes to show that no matter what hardships we face, we have the ability to overcome them and create a better future for ourselves."
422,10,"199: I couldn't agree more, it's a powerful reminder of the strength of the human spirit."
422,11,"52: Absolutely, and it's a reminder that we all have the power to make a difference in the lives of others, even in the face of adversity."
422,12,"199: Yes, and it's a reminder that we should never underestimate the resilience and strength of the human spirit, and the power of hope and determination."
422,13,"52: Definitely, it's a powerful message that we should all take to heart."
422,14,"199: Absolutely, and it's a reminder that we should all strive to be more compassionate, understanding, and supportive of those who are struggling, and to always look for ways to make a positive impact in the lives of others."
423,6,"207: Yeah, I think it's important to acknowledge that everyone's experiences are shaped by a multitude of factors, both internal and external."
423,7,"52: Absolutely, and it's essential to approach these stories with empathy and an understanding of the broader context."
423,8,"207: Definitely, it's a reminder that there are no easy answers and that we should strive for a more compassionate and inclusive society."
423,9,52: I couldn't agree more. We need to recognize the interconnectedness of individual struggles and systemic challenges in order to work towards meaningful change.
423,10,207: Well said. It's inspiring to see how Shelton has used his own experiences to advocate for social justice and support others going through similar situations.
423,11,52: Absolutely. His story serves as a powerful reminder of the resilience of the human spirit and the potential for positive transformation.
423,12,"207: Definitely, and I hope his story inspires others to overcome adversity and make a difference in their own lives and the lives of others."
423,13,52: I couldn't agree more. It's a testament to the power of perseverance and the importance of never giving up on your dreams.
423,14,"207: Absolutely. Shelton's journey is a testament to the fact that no matter the challenges we face, we all have the power to create positive change in our own lives and the world around us."
423,15,52: Well said. It's stories like Shelton's that remind us of the incredible strength and resilience of the human spirit.
426,6,"52: I think that's why the article was so powerful and emotional, because it's not just a story, it's a shared experience that a lot of people can relate to."
426,7,218: I feel like it was also very relatable that they were able to reconnect with their family and siblings
426,8,"52: Yes, that's true, and it shows that there are still positive outcomes even if they didn't have a perfect childhood."
426,9,218: I also thought that the article did a great job of highlighting the importance of foster care
426,10,"52: I agree, it's definitely a system that needs more support and recognition for the work that they do."
426,11,218: I hope that more people will learn about the foster care system and consider becoming a foster parent
426,12,"52: Yes, I hope so too, it's definitely a rewarding experience to be able to make a positive impact on a child's life."
427,6,"52: It's really sad to see the situation in Burma deteriorate.  There has been little progress in the last few years, and the Rohingya people are being treated as second-class citizens."
427,7,192: Exactly.  It's heartbreaking to think about the violence and the loss of innocent lives.
427,8,52: It's really important that the international community continues to put pressure on the Burmese government to address the situation and ensure the safety and well-being of the Rohingya people.
427,9,192: Absolutely.  We need to hold our leaders accountable and demand action.
427,10,"52: Yes, and it's important to support organizations that are working on the ground to provide aid and support to those affected by the crisis."
427,11,192: Definitely.  It's important to stay informed and raise awareness about the situation in Burma.
427,12,52: I couldn't agree more.  We can't turn a blind eye to the suffering of others.
427,13,192: Absolutely.  It's our responsibility to stand up for justice and human rights.
427,14,52: Well said.  Let's hope that the situation in Burma improves and that the Rohingya people are finally able to live in peace and freedom.
427,15,192: Amen to that.
428,6,"219: I think what stood out to me the most was his determination to make a positive difference in the lives of others, even in the face of adversity. It's a reminder that even small acts of kindness and support can have a profound impact on someone's life."
428,7,"52: I completely agree. It's important to remember that we all have the power to make a difference, no matter how small."
428,8,219: Absolutely. And I think it's important to recognize and celebrate the efforts of those who are working to make a positive impact in their communities and beyond.
428,9,"52: Yes, it's so important to acknowledge and support those who are making a difference, and to do what we can to help them continue their important work."
428,10,219: Absolutely. Thank you so much for sharing your thoughts on this inspiring article.
428,11,"52: No problem, thank you for sharing your thoughts as well."
428,12,219: You're welcome. It was great talking with you.
428,13,52: Likewise. Take care.
428,14,219: You too. Bye.
428,15,52: Bye.
432,6,"52: That is true, but she has also faced criticism for not being strong enough against the military. She has been accused of being too cautious and not taking a hard enough stance."
432,7,"222: I can see why that would be a concern, especially given the history of military rule in Burma."
432,8,"52: Yes, it is definitely a difficult situation."
432,9,222: Do you think that the international community should be doing more to help Burma?
432,10,"52: I think that the international community should be doing more to support democracy in Burma, but it is also important for the Burmese people to continue to stand up for their rights and demand change."
432,11,"222: I agree, it is important for the people to be involved in the process of change."
432,12,"52: Absolutely, and it is also important for the international community to continue to put pressure on the military to stop their oppressive actions."
432,13,"222: That is a good point, and I hope that the Burmese people are able to bring about the change that they want to see."
432,14,"52: Yes, I hope so too."
433,6,"52: It's definitely a possibility, but we don't have all the details to make a solid conclusion yet."
433,7,223: I guess so. I just hope they can get to the bottom of it and get some justice for the victims.
433,8,"52: Same here, it's really important to get to the bottom of this and ensure that justice is served."
433,9,223: Definitely. Thanks for sharing your thoughts!
433,10,52: Thank you for listening!
438,6,"206: Yeah I agree, but I feel like I have to keep pushing through it to make sure it doesn't happen to anyone else."
438,7,"52: That's understandable, but it's also important to acknowledge your own emotions and seek help if needed."
438,8,"206: I'll try to keep that in mind, thank you."
438,9,"52: Of course, please take care of yourself."
438,10,"206: I will, thank you."
438,11,52: I'm here for you if you ever need to talk.
438,12,"206: I appreciate that, thank you."
438,13,"52: No problem, take care."
438,14,"206: You too, bye."
438,15,52: Goodbye.
439,6,"52: Definitely, it raises questions about the influence of the drug trade on individuals and the potential for criminal behavior."
439,7,185: I wonder if the jeweler's surrogacy arrangement played a role in the situation.
439,8,"52: It's hard to say for sure, but it's possible that the surrogate's relationship with the jeweler and the dynamics within the surrogate family might have contributed to the events that unfolded."
439,9,185: It's a reminder of the importance of responsible parenthood and the need to prioritize the well-being of the child.
439,10,"52: Absolutely, surrogacy can be a wonderful way to help people fulfill their dream of becoming parents, but it's crucial to ensure that the child's safety and well-being are always the top priority."
439,11,185: I hope that the victims and their families find some solace and justice in this tragic event.
439,12,"52: Yes, let's hope that the legal system works to bring the perpetrator to justice and that measures are taken to prevent such incidents in the future."
439,13,185: Agreed. It's important to learn from these events and work towards creating a safer and more compassionate society.
439,14,"52: Definitely, we should strive to create a society where violence and cruelty have no place."
439,15,"185: Absolutely, let's continue to raise awareness and advocate for positive change."
442,6,"194: Definitely, we need to be aware and take action to prevent such incidents from happening."
442,7,"52: Absolutely, it's crucial to stand up against abuse and advocate for survivors."
442,8,"194: I agree, we can all play a part in making the world a safer place."
442,9,52: Thank you for sharing your thoughts. It's important to have these conversations and raise awareness about these issues.
442,10,194: You're welcome. It's important to keep the conversation going and work towards a better future.
442,11,"52: Absolutely, let's continue to support and empower survivors and work towards a society free from abuse."
442,12,194: I couldn't agree more. Let's make a difference together.
442,13,52: Thank you for your support. It means a lot.
442,14,194: Thank you for listening and engaging in this important conversation. Let's continue to make a positive impact in the world.
442,15,"52: Definitely, let's do our part. Have a great day."
443,6,52: It's truly a tragedy. The government should be taking swift action to protect the rights and safety of its citizens.
443,7,"204: the military is also involved, and it's difficult to determine their intentions"
443,8,52: It's a complex situation with multiple parties involved. It's crucial for the international community to monitor and address the human rights abuses taking place.
443,9,204: the situation in Burma is very distressing
443,10,52: It's disheartening to see innocent lives being affected by political and social unrest. We need to advocate for the protection of human rights and the well-being of all people.
443,11,204: it's hard to find a solution that satisfies everyone
443,12,"52: Indeed, finding a resolution that satisfies all parties involved is challenging. It requires open dialogue and a commitment to finding a peaceful and just resolution."
443,13,204: i hope that the situation in Burma can be resolved peacefully
443,14,52: Let's hope for a peaceful resolution that respects the rights and dignity of all individuals.
444,6,"167: I think that the story of this little girl and her family is just very, very disturbing."
444,7,"52: It's especially sad that she died from abuse, even if it wasn't her fault."
444,8,"167: Yes, it's just heartbreaking to think about."
444,9,52: What do you think needs to be done to prevent such cases in the future?
444,10,167: I think it's important for society to recognize the signs of abuse and intervene before it's too late. We need to create a culture where people feel comfortable speaking up and seeking help.
444,11,52: I completely agree. It's crucial to break the cycle of abuse and protect vulnerable individuals.
444,12,167: Absolutely. We all have a responsibility to create a safe and supportive environment for everyone.
444,13,52: Thank you for sharing your thoughts on this important issue.
444,14,"167: Thank you for listening.




Person"
444,15,1: What did you think about the article? Person
445,6,52: That's so unfair. It's really heartbreaking to think about.
445,7,"193: Definitely, and what's even more disturbing is that the family has been cleared of all charges, and Amanda is facing a lifetime of stigma and judgment because of it."
445,8,"52: That's terrible, I hope she can find some support and healing."
445,9,"193: Me too, it's just so tragic."
445,10,52: It really makes you wonder what could have been done differently to prevent this.
445,11,"193: Yeah, it's a really complex issue. But one thing we can do is raise awareness and advocate for better mental health resources for families in crisis."
445,12,"52: Absolutely, we need to do everything we can to prevent something like this from happening again."
445,13,193: I couldn't agree more. Thanks for having this conversation with me.
445,14,"52: Of course, it was great talking to you."
445,15,"193: Likewise, take care."
460,6,240: And I think that is just one of the problems with the corporate world.  They are so focused on short term profits and shareholder value that they are willing to destroy the planet for it.
460,7,"199: Well, that is a good way to start the day.  I'm sure it won't be the last."
460,8,240: I hope not either
460,9,199: I think we need to do everything in our power to change the current system.  We can't just sit back and wait for the corporations to change.  We must hold them accountable for their actions.  And we must support the people and businesses that are working to make a positive difference.
460,10,240: That's a good point.  We all need to do our part.  We can't rely on the government to do it for us.
460,11,"199: Absolutely.  We need to take action.  We can start by educating ourselves and others about the issues.  We can make changes in our own lives, such as reducing our carbon footprint and supporting sustainable practices.  We can also support organizations that are working to protect the environment.  And we can vote for politicians who prioritize environmental issues."
460,12,"240: Yes, and we can also speak out and raise awareness.  We can write letters to our elected officials and participate in peaceful protests.  We can also use social media to spread the word and encourage others to get involved.  And we can join or start a local environmental group in our community.  We can plant trees, clean up litter, and advocate for policies that protect the environment.  And we can support businesses that are committed to sustainability and ethical practices.  We can also support renewable energy initiatives and advocate for the transition away from fossil fuels.  And we can support organizations that are working to protect endangered species and their habitats.  And we can support conservation efforts and promote sustainable practices in our daily lives.  We can also support research and development of new technologies and solutions for climate change.  We can also support policies that prioritize environmental protection and sustainability.  And we can support businesses that prioritize sustainability and ethical practices.  And we can also support renewable energy and energy efficiency.  And we can support policies that promote sustainability.  And we can support businesses that prioritize sustainability and sustainability. Person"
460,13,2: I think that this is a good thing. Person
460,14,"1: yes I mean there's no simplely, they're so many."
462,6,"242: I see your point. But I don't think that will be enough. There's always going to be a new company that doesn't care about safety, just wants to get rich."
462,7,190: I see what you're saying.  Do you think there should be a higher standard for all companies that use animals?
462,8,242: Definitely. There should be a higher standard for all companies that use animals.
462,9,"190: But that's not necessarily a good thing.  Some companies that use animals are very ethical, and are actually very good for animals."
462,10,"242: That's true, but I don't think the public will know that."
462,11,190: So how do you think the public can make sure that their money is going to companies that care about animal welfare?
462,12,242: I think the public needs to do their homework.  They need to look at what companies do with their profits and use that as a gauge of how ethical the company is.
462,13,190: That's a good point. I feel like companies that have a reputation for being animal-friendly will be more likely to get the bulk of the business.
462,14,242: That's true.
462,15,190: Do you think there should be any sort of regulation to make sure companies are actually being honest about how they use animals?
463,6,243: I really hope that this does not happen again
463,7,243: I hope they will find the person responsible for this
463,8,243: I don't think it's fair to judge all Muslims
463,9,243: I think it is a really sad day
463,10,243: I hope they can somehow bring back the victims
463,11,243: I feel so bad for the people
463,12,243: I hope that the person responsible
463,13,243: I don't think it is fair to judge all Muslims
463,14,243: I don't think it is fair to judge all Muslims
463,15,243: I don't think it is fair to judge all Muslims
466,6,"52: I agree, children don't have a say in their own health choices, so it's important to create a safe environment for them."
466,7,207: The article mentions the economic impact of banning smoking around children's play areas.
466,8,"52: Yes, there is often a debate between public health concerns and economic considerations."
466,9,"207: In the long run, the cost of treating smoking-related illnesses and the negative impact on children's health outweigh the economic benefits of smoking."
466,10,52: That's a valid point. Public health policies often aim to prevent long-term health consequences and improve overall well-being.
466,11,"207: Exactly. It's important to prioritize the health and well-being of the community, especially when it comes to protecting vulnerable populations like children."
466,12,52: I couldn't agree more.
467,6,206: I don't know why you are talking about this.
467,7,"170: because i think it is a very important topic, and the people who are suffering from this are just people who are sick, and are not able to smoke."
467,8,206: i don't know why you are talking about it.
467,9,"170: because i think people should be allowed to smoke in the parks, but if they are sick they should not smoke."
467,10,206: I don't know why you are talking about it.
467,11,"170: because i think it is a very important topic, and the people who are suffering from it are just people who are sick, and are not able to smoke."
467,12,206: I don't know why you are talking about it.
467,13,"170: because i think people should be allowed to smoke in the parks, but if they are sick they should not smoke."
467,14,206: I don't know why you are talking about it.
467,15,"170: because i think it is a very important topic, and the people who are suffering from it are just people who are sick, and are not able to smoke."
470,6,248: I guess I'm just a little more sympathetic than you are.
470,7,247: Yeah I can't imagine how hard it must have been for you
470,8,"248: Yeah, but I think it's important to be aware of the risks."
470,9,249: I think people should have the right to make their own choices.
470,10,"248: I think that's a very good point, but I also think people should be informed of the risks"
470,11,"248: I guess that's true. I don't really understand why people don't just quit smoking. I mean, it's obviously bad for you."
470,12,248: I guess it's a lot harder to do than just stop.
470,13,"249: Yeah, but it's worth it in the end."
470,14,248: I think I agree with you on that.
470,15,"249: I think it's a personal choice, but it's good to know the risks."
473,6,199: I wonder if they are going to be prosecuted for other acts of cruelty to animals as well
473,7,199: I hope so.  I know that we as a society need to make sure that people are held accountable for their actions.  It's a shame that it took a tragedy like this to get us thinking about it.
473,8,199: Agree.  This is a wake-up call.  It's time to start treating animals with the respect and care that they deserve.
473,9,193: I hope that this will result in more laws and regulations to protect animals
473,10,"199: Me too.  Hopefully, it will also result in more education and awareness about the importance of treating animals with kindness and compassion."
473,11,199: Definitely.  We need to make sure that people understand that animals are sentient beings that are capable of feeling pain and suffering.
473,12,193: I couldn't agree more.  It's time for us to start treating animals as the intelligent and sensitive creatures that they are.
473,13,"199: Absolutely.  We have a long way to go, but I believe that we can make a difference if we all work together."
473,14,193: I hope so.  Let's do our part to make sure that this kind of thing never happens again.
473,15,199: Me too.  Thank you for sharing your thoughts and opinions on this important topic.
474,6,"249: I don't know but I think the one in the article was a juvenile.  I don't know about the other one.  I think they were both in the same age group.  I also don't know about the one in the article, but I do know that the one in the video is a juvenile.  The one in the article was older and I'm sure it had been trained to do the dance.  I think that is why they were doing it.  I also have a friend that has a dog that can do the same thing.  It's the same dog, but he's a much larger dog and he can't get the same height.  I think it's a matter of size.  I think the one in the article is a juvenile and the one in the video is an adult.  The one in the video was about four or five years old and the one in the article was about two or three.  The one in the video was a smaller dog and the one in the article was a larger dog.  The one in the video was also bigger than the one in the article.  The one in the article was about two and a half feet tall and the one in the video was about three feet tall.  The one in the article was about two and a half feet tall and the one in the video was about three feet tall.  I think that the one in the article was a juvenile and the one in the video was an adult.  I also think that the one in the article was a smaller dog and the one in the video was a larger dog.  The one in the article was about two and a half feet tall and the one in the video was about three feet tall.  The one in the article was about two and a half feet tall and the one in the video was about three feet tall.  I think that the one in the article was a juvenile and the one in the video was an adult.  I think that the one in the article was a smaller dog and the one in the video was a larger dog.  The one in the article was about two and a half feet tall and the one in the video was about three feet tall.  I think the one in the article was a juvenile and the one in the video was an adult. 

# The one in the article. 

I wonder if there is a little more"
475,6,243: It makes sense that they would be angry at the world and want to kill someone.
475,7,209: I think it's sad that they were not able to find a way to help their son without having to kill him.
475,8,"243: I know, I feel bad for their son and their family."
475,9,209: Yeah. I think it's really sad.
475,10,243: It's so sad.
475,11,209: Yeah.
475,12,243: I hope they are doing okay.
475,13,209: I hope so.
475,14,243: Me too.
475,15,209: I'm sorry for your loss.
476,6,250: Corrao was found guilty of assault and battery and was ordered to perform community service and pay a fine of $250.
476,7,184: That's a lot of money for someone to be making from a park visit.
476,8,250: It's really sad that this happened.
476,9,"184: Yeah, it's really sad."
476,10,250: I hope they make sure that people don't get too close to the flamingos in the future.
476,11,184: Me too.
476,12,184: I read the article about the flamingo attack.
476,13,250: What did you think?
476,14,184: It made me angry really quickly.
476,15,"250: Yeah, it's really sad that the flamingo was attacked by a park visitor."
477,6,52: I know. It's hard to imagine what kind of person could do something like that.
477,7,251: I think it's really sad that the person who did it was never caught and punished.
477,8,"52: Yeah, it's really unfortunate. I hope they find the person responsible and they get justice for Pinky."
477,9,251: I hope so too. It's really heartbreaking to think about.
477,10,52: I agree. It's just so sad.
479,6,"223: Yes, it's a difficult issue."
479,7,52: It seems like the government should do more to support the affected communities and help them rebuild their lives.
479,8,223: I agree. The government should take responsibility and provide adequate support for the people who have been negatively impacted.
479,9,"52: Absolutely, it's important to prioritize the well-being of the affected individuals and work towards a sustainable recovery."
479,10,223: I hope that the government takes the necessary steps to address these concerns and ensure that the affected communities receive the assistance they need.
479,11,"52: Yes, let's hope for a better future for them."
479,12,"223: Definitely, let's hope for the best."
484,6,"52: I agree, and it's really sad that the whole incident could have been prevented if they had proper safety measures in place."
484,7,"189: Yes, it's unfortunate that companies prioritize profit over the well-being of people and the environment."
484,8,52: It's really important for governments and organizations to hold them accountable and prevent such disasters from happening again.
484,9,"189: Absolutely, we need to prioritize the safety and protection of our planet and its people."
484,10,"52: Definitely, it's our responsibility to take care of our environment for future generations."
484,11,"189: I couldn't agree more, we must strive for sustainable practices and responsible resource extraction."
484,12,52: Thank you for discussing this important issue with me.
484,13,189: Thank you for sharing your thoughts.
485,6,"222: Yes, the contamination of the river is a serious concern, and it will take a long time for it to be safe for consumption."
485,7,52: I wonder if the government will take responsibility for the disaster and provide support for the affected communities.
485,8,"222: I hope so, but it's also important for individuals to be aware of the impact of their actions on the environment and to take steps to reduce their ecological footprint."
485,9,"52: Definitely, we all have a responsibility to protect the planet and its resources for future generations."
485,10,"222: Absolutely, and it's important to remember that we are all connected to the natural world, and that our actions can have far-reaching consequences."
485,11,"52: That's a great point. It's up to all of us to work together to create a more sustainable and responsible world.

Person"
485,12,1: So what did you think about the article? Person
485,13,2: I thought it was pretty sad. Person
485,14,"1: Yeah, it's really sad when human activity has a negative impact on nature. Person"
485,15,2: Definitely. It's heartbreaking to think about the damage that can be done. Person
487,6,207: Absolutely. It's important for the mining company to take responsibility and make changes to prevent such incidents from happening again.
487,7,"52: I agree. It's a reminder of the importance of responsible and ethical practices in the mining industry, and the need for stricter regulations and oversight to ensure the safety of workers and the environment."
487,8,207: Definitely. We can't afford to ignore the potential dangers and consequences of mining activities.
487,9,"52: Yes, and it's important for individuals and organizations to speak up and advocate for safer and more sustainable practices in the industry."
487,10,207: Absolutely. We all have a role to play in protecting our environment and ensuring the well-being of communities.
487,11,52: That's right. Let's continue to raise awareness and work towards a more responsible and sustainable future for mining.
487,12,207: Agreed. Let's do our part to make a positive difference.
487,13,52: Thank you for this insightful conversation.
487,14,207: Thank you for your thoughtful response. Let's continue to engage in meaningful discussions and work towards positive change.
487,15,"52: Definitely. Together, we can make a difference."
489,6,"243: I don't know, I don't think I've ever heard of palm oil being used in food."
489,7,206: I don't think I have.
489,8,243: I think it's a type of vegetable oil.
489,9,"206: Yeah, I think so too."
489,10,243: I guess the palm oil industry is pretty harmful.
489,11,206: It is.
489,12,243: I just don't get why we have to be so selfish.
489,13,206: I know! It's so heartbreaking.
489,14,243: I know!
