id,turn_number,generated_response
402,10,"I have to agree. I hope that by raising our own awarness with conversations like these we can start seeing some change. I've enjoyed this conversation and want to thank you for sharing your thoughts and ideas. I've enjoyed our talk, goodbye."
403,6,that's great! Had you heard about this guy before reading the article? Seems like he was kind of a big deal.
403,7,that's great! Had you heard about this guy before reading the article? Seems like he was kind of a big deal.
403,8,that's great! Had you heard about this guy before reading the article? Seems like he was kind of a big deal.
403,9,that's great! Had you heard about this guy before reading the article? Seems like he was kind of a big deal.
403,10,that's great! Had you heard about this guy before reading the article? Seems like he was kind of a big deal.
404,6,What do you think about the article?
404,7,What do you think about the article?
404,8,What do you think about the article?
404,9,What do you think about the article?
404,10,What do you think about the article?
412,6,I agree. I like the part of the article saying that the UN needs to address the root of the problem. Lets make this countries better so people do not need or want to leave.
412,7,I agree. I like the part of the article saying that the UN needs to address the root of the problem. Lets make this countries better so people do not need or want to leave.
412,8,I agree. I like the part of the article saying that the UN needs to address the root of the problem. Lets make this countries better so people do not need or want to leave.
412,9,I agree. I like the part of the article saying that the UN needs to address the root of the problem. Lets make this countries better so people do not need or want to leave.
412,10,I agree. I like the part of the article saying that the UN needs to address the root of the problem. Lets make this countries better so people do not need or want to leave.
413,6,"I think the relative strength and destructiveness of major powers does inhibit large-scale conflict.  Too much destruction to risk going to war, so we fought proxy battles and use diplomacy and sanctions and things like that more than hot wars.  But of course one leader could change that."
413,7,"I think the relative strength and destructiveness of major powers does inhibit large-scale conflict.  Too much destruction to risk going to war, so we fought proxy battles and use diplomacy and sanctions and things like that more than hot wars.  But of course one leader could change that."
413,8,"I think the relative strength and destructiveness of major powers does inhibit large-scale conflict.  Too much destruction to risk going to war, so we fought proxy battles and use diplomacy and sanctions and things like that more than hot wars.  But of course one leader could change that."
413,9,"I think the relative strength and destructiveness of major powers does inhibit large-scale conflict.  Too much destruction to risk going to war, so we fought proxy battles and use diplomacy and sanctions and things like that more than hot wars.  But of course one leader could change that."
413,10,"I think the relative strength and destructiveness of major powers does inhibit large-scale conflict.  Too much destruction to risk going to war, so we fought proxy battles and use diplomacy and sanctions and things like that more than hot wars.  But of course one leader could change that."
416,6,I think appropriate punishment should be given
416,7,I think appropriate punishment should be given
416,8,I think appropriate punishment should be given
416,9,I think appropriate punishment should be given
416,10,I think appropriate punishment should be given
417,6,What do you think about the article?
417,7,What do you think about the article?
417,8,What do you think about the article?
417,9,What do you think about the article?
417,10,What do you think about the article?
419,6,What do you think about the article?
419,7,What do you think about the article?
419,8,What do you think about the article?
419,9,What do you think about the article?
419,10,What do you think about the article?
421,6,"Yeah that's a good point, too.  It must be some pretty dedicated and caring people who do this.  I wonder who funds the whole orphanage operation."
421,7,"Yeah that's a good point, too.  It must be some pretty dedicated and caring people who do this.  I wonder who funds the whole orphanage operation."
421,8,"Yeah that's a good point, too.  It must be some pretty dedicated and caring people who do this.  I wonder who funds the whole orphanage operation."
421,9,"Yeah that's a good point, too.  It must be some pretty dedicated and caring people who do this.  I wonder who funds the whole orphanage operation."
421,10,"Yeah that's a good point, too.  It must be some pretty dedicated and caring people who do this.  I wonder who funds the whole orphanage operation."
422,6,What do you think about the article?
422,7,What do you think about the article?
422,8,What do you think about the article?
422,9,What do you think about the article?
422,10,What do you think about the article?
423,6,What do you think about the article?
423,7,What do you think about the article?
423,8,What do you think about the article?
423,9,What do you think about the article?
423,10,What do you think about the article?
426,6,that's great! Had you heard about this guy before reading the article? Seems like he was kind of a big deal.
426,7,that's great! Had you heard about this guy before reading the article? Seems like he was kind of a big deal.
426,8,that's great! Had you heard about this guy before reading the article? Seems like he was kind of a big deal.
426,9,that's great! Had you heard about this guy before reading the article? Seems like he was kind of a big deal.
426,10,that's great! Had you heard about this guy before reading the article? Seems like he was kind of a big deal.
427,6,I agree. I like the part of the article saying that the UN needs to address the root of the problem. Lets make this countries better so people do not need or want to leave.
427,7,I agree. I like the part of the article saying that the UN needs to address the root of the problem. Lets make this countries better so people do not need or want to leave.
427,8,I agree. I like the part of the article saying that the UN needs to address the root of the problem. Lets make this countries better so people do not need or want to leave.
427,9,I agree. I like the part of the article saying that the UN needs to address the root of the problem. Lets make this countries better so people do not need or want to leave.
427,10,I agree. I like the part of the article saying that the UN needs to address the root of the problem. Lets make this countries better so people do not need or want to leave.
428,6,What do you think about the article?
428,7,What do you think about the article?
428,8,What do you think about the article?
428,9,What do you think about the article?
428,10,What do you think about the article?
432,6,What do you think about the article?
432,7,What do you think about the article?
432,8,What do you think about the article?
432,9,What do you think about the article?
432,10,What do you think about the article?
433,6,that's great! Had you heard about this guy before reading the article? Seems like he was kind of a big deal.
433,7,that's great! Had you heard about this guy before reading the article? Seems like he was kind of a big deal.
433,8,that's great! Had you heard about this guy before reading the article? Seems like he was kind of a big deal.
433,9,that's great! Had you heard about this guy before reading the article? Seems like he was kind of a big deal.
433,10,that's great! Had you heard about this guy before reading the article? Seems like he was kind of a big deal.
438,6,"Reading this article, I feel as a woman that I am very fortunate."
438,7,"Reading this article, I feel as a woman that I am very fortunate."
438,8,"Reading this article, I feel as a woman that I am very fortunate."
438,9,"Reading this article, I feel as a woman that I am very fortunate."
438,10,"Reading this article, I feel as a woman that I am very fortunate."
439,6,What do you think about the article?
439,7,What do you think about the article?
439,8,What do you think about the article?
439,9,What do you think about the article?
439,10,What do you think about the article?
442,6,"Police really have a difficult job, you can do 1000's of such acts in your career but what will be remembered is one less than perfect act. I just hope that the lady in this story gets the help she obviously needs after her rescue"
442,7,"Police really have a difficult job, you can do 1000's of such acts in your career but what will be remembered is one less than perfect act. I just hope that the lady in this story gets the help she obviously needs after her rescue"
442,8,"Police really have a difficult job, you can do 1000's of such acts in your career but what will be remembered is one less than perfect act. I just hope that the lady in this story gets the help she obviously needs after her rescue"
442,9,"Police really have a difficult job, you can do 1000's of such acts in your career but what will be remembered is one less than perfect act. I just hope that the lady in this story gets the help she obviously needs after her rescue"
442,10,"Police really have a difficult job, you can do 1000's of such acts in your career but what will be remembered is one less than perfect act. I just hope that the lady in this story gets the help she obviously needs after her rescue"
443,6,I agree. I like the part of the article saying that the UN needs to address the root of the problem. Lets make this countries better so people do not need or want to leave.
443,7,I agree. I like the part of the article saying that the UN needs to address the root of the problem. Lets make this countries better so people do not need or want to leave.
443,8,I agree. I like the part of the article saying that the UN needs to address the root of the problem. Lets make this countries better so people do not need or want to leave.
443,9,I agree. I like the part of the article saying that the UN needs to address the root of the problem. Lets make this countries better so people do not need or want to leave.
443,10,I agree. I like the part of the article saying that the UN needs to address the root of the problem. Lets make this countries better so people do not need or want to leave.
444,6,What do you think about the article?
444,7,What do you think about the article?
444,8,What do you think about the article?
444,9,What do you think about the article?
444,10,What do you think about the article?
445,6,It was nice that he saved his mom not knowing it was her.
445,7,It was nice that he saved his mom not knowing it was her.
445,8,It was nice that he saved his mom not knowing it was her.
445,9,It was nice that he saved his mom not knowing it was her.
445,10,It was nice that he saved his mom not knowing it was her.
460,6,"there is still some hope. i recall reading a different article, also from India, dealing with a big volunteer effort toward reforestation"
460,7,"there is still some hope. i recall reading a different article, also from India, dealing with a big volunteer effort toward reforestation"
460,8,"there is still some hope. i recall reading a different article, also from India, dealing with a big volunteer effort toward reforestation"
460,9,"there is still some hope. i recall reading a different article, also from India, dealing with a big volunteer effort toward reforestation"
460,10,"there is still some hope. i recall reading a different article, also from India, dealing with a big volunteer effort toward reforestation"
462,6,And I think the company should pay some sort of compensation
462,7,And I think the company should pay some sort of compensation
462,8,And I think the company should pay some sort of compensation
462,9,And I think the company should pay some sort of compensation
462,10,And I think the company should pay some sort of compensation
463,6,yeah at least they got some clean water. That must have been a blessing
463,7,yeah at least they got some clean water. That must have been a blessing
463,8,yeah at least they got some clean water. That must have been a blessing
463,9,yeah at least they got some clean water. That must have been a blessing
463,10,yeah at least they got some clean water. That must have been a blessing
466,6,I think banning smoking in cars with kids is great two you?
466,7,I think banning smoking in cars with kids is great two you?
466,8,I think banning smoking in cars with kids is great two you?
466,9,I think banning smoking in cars with kids is great two you?
466,10,I think banning smoking in cars with kids is great two you?
467,6,I think banning smoking in cars with kids is great two you?
467,7,I think banning smoking in cars with kids is great two you?
467,8,I think banning smoking in cars with kids is great two you?
467,9,I think banning smoking in cars with kids is great two you?
467,10,I think banning smoking in cars with kids is great two you?
470,6,I think banning smoking in cars with kids is great two you?
470,7,I think banning smoking in cars with kids is great two you?
470,8,I think banning smoking in cars with kids is great two you?
470,9,I think banning smoking in cars with kids is great two you?
470,10,I think banning smoking in cars with kids is great two you?
473,6,"I think the rules are perfectly fine, they are clear about no animals of their leashes. Do you think anyone should have been charged or fined?"
473,7,"I think the rules are perfectly fine, they are clear about no animals of their leashes. Do you think anyone should have been charged or fined?"
473,8,"I think the rules are perfectly fine, they are clear about no animals of their leashes. Do you think anyone should have been charged or fined?"
473,9,"I think the rules are perfectly fine, they are clear about no animals of their leashes. Do you think anyone should have been charged or fined?"
473,10,"I think the rules are perfectly fine, they are clear about no animals of their leashes. Do you think anyone should have been charged or fined?"
474,6,"They might have, I was skimming it fast so I could've missed it. It's great that the Canadian government is doing something about it though. I bet our government is also taking steps to save the majestic animal. Thanks for the conversation, hope you have a good day."
474,7,"They might have, I was skimming it fast so I could've missed it. It's great that the Canadian government is doing something about it though. I bet our government is also taking steps to save the majestic animal. Thanks for the conversation, hope you have a good day."
474,8,"They might have, I was skimming it fast so I could've missed it. It's great that the Canadian government is doing something about it though. I bet our government is also taking steps to save the majestic animal. Thanks for the conversation, hope you have a good day."
474,9,"They might have, I was skimming it fast so I could've missed it. It's great that the Canadian government is doing something about it though. I bet our government is also taking steps to save the majestic animal. Thanks for the conversation, hope you have a good day."
474,10,"They might have, I was skimming it fast so I could've missed it. It's great that the Canadian government is doing something about it though. I bet our government is also taking steps to save the majestic animal. Thanks for the conversation, hope you have a good day."
475,6,that's great! Had you heard about this guy before reading the article? Seems like he was kind of a big deal.
475,7,that's great! Had you heard about this guy before reading the article? Seems like he was kind of a big deal.
475,8,that's great! Had you heard about this guy before reading the article? Seems like he was kind of a big deal.
475,9,that's great! Had you heard about this guy before reading the article? Seems like he was kind of a big deal.
475,10,that's great! Had you heard about this guy before reading the article? Seems like he was kind of a big deal.
476,6,that's great! Had you heard about this guy before reading the article? Seems like he was kind of a big deal.
476,7,that's great! Had you heard about this guy before reading the article? Seems like he was kind of a big deal.
476,8,that's great! Had you heard about this guy before reading the article? Seems like he was kind of a big deal.
476,9,that's great! Had you heard about this guy before reading the article? Seems like he was kind of a big deal.
476,10,that's great! Had you heard about this guy before reading the article? Seems like he was kind of a big deal.
477,6,"I agree. I really don't think her dog was going to bite him, but was just an excited dog."
477,7,"I agree. I really don't think her dog was going to bite him, but was just an excited dog."
477,8,"I agree. I really don't think her dog was going to bite him, but was just an excited dog."
477,9,"I agree. I really don't think her dog was going to bite him, but was just an excited dog."
477,10,"I agree. I really don't think her dog was going to bite him, but was just an excited dog."
479,6,"Life is precious. I wonder what will happen to the well now, since i guess it's torn up."
479,7,"Life is precious. I wonder what will happen to the well now, since i guess it's torn up."
479,8,"Life is precious. I wonder what will happen to the well now, since i guess it's torn up."
479,9,"Life is precious. I wonder what will happen to the well now, since i guess it's torn up."
479,10,"Life is precious. I wonder what will happen to the well now, since i guess it's torn up."
484,6,"Life is precious. I wonder what will happen to the well now, since i guess it's torn up."
484,7,"Life is precious. I wonder what will happen to the well now, since i guess it's torn up."
484,8,"Life is precious. I wonder what will happen to the well now, since i guess it's torn up."
484,9,"Life is precious. I wonder what will happen to the well now, since i guess it's torn up."
484,10,"Life is precious. I wonder what will happen to the well now, since i guess it's torn up."
485,6,thankfully there are people in the world like the people who rescued the animals
485,7,thankfully there are people in the world like the people who rescued the animals
485,8,thankfully there are people in the world like the people who rescued the animals
485,9,thankfully there are people in the world like the people who rescued the animals
485,10,thankfully there are people in the world like the people who rescued the animals
487,6,"Definitely, i hopefully the owner is able to find peace. At the end of the article it seems like she is coming to terms with it being an accident"
487,7,"Definitely, i hopefully the owner is able to find peace. At the end of the article it seems like she is coming to terms with it being an accident"
487,8,"Definitely, i hopefully the owner is able to find peace. At the end of the article it seems like she is coming to terms with it being an accident"
487,9,"Definitely, i hopefully the owner is able to find peace. At the end of the article it seems like she is coming to terms with it being an accident"
487,10,"Definitely, i hopefully the owner is able to find peace. At the end of the article it seems like she is coming to terms with it being an accident"
489,6,"Honestly, I feel like we (the US) are too invested in their oil production to let that level of disruption happen."
489,7,"Honestly, I feel like we (the US) are too invested in their oil production to let that level of disruption happen."
489,8,"Honestly, I feel like we (the US) are too invested in their oil production to let that level of disruption happen."
489,9,"Honestly, I feel like we (the US) are too invested in their oil production to let that level of disruption happen."
489,10,"Honestly, I feel like we (the US) are too invested in their oil production to let that level of disruption happen."
490,6,"it was. it took them 15 years, but the new forest is thriving. the issue is the population need to be more conscientious and understand that the benefits might not be seen overnight."
490,7,"it was. it took them 15 years, but the new forest is thriving. the issue is the population need to be more conscientious and understand that the benefits might not be seen overnight."
490,8,"it was. it took them 15 years, but the new forest is thriving. the issue is the population need to be more conscientious and understand that the benefits might not be seen overnight."
490,9,"it was. it took them 15 years, but the new forest is thriving. the issue is the population need to be more conscientious and understand that the benefits might not be seen overnight."
490,10,"it was. it took them 15 years, but the new forest is thriving. the issue is the population need to be more conscientious and understand that the benefits might not be seen overnight."
492,6,"I think the rules are perfectly fine, they are clear about no animals of their leashes. Do you think anyone should have been charged or fined?"
492,7,"I think the rules are perfectly fine, they are clear about no animals of their leashes. Do you think anyone should have been charged or fined?"
492,8,"I think the rules are perfectly fine, they are clear about no animals of their leashes. Do you think anyone should have been charged or fined?"
492,9,"I think the rules are perfectly fine, they are clear about no animals of their leashes. Do you think anyone should have been charged or fined?"
492,10,"I think the rules are perfectly fine, they are clear about no animals of their leashes. Do you think anyone should have been charged or fined?"
493,6,thanks for talking with me. i love animals and espiecally elephants so much i hope that they never go extinct. goodbye
493,7,thanks for talking with me. i love animals and espiecally elephants so much i hope that they never go extinct. goodbye
493,8,thanks for talking with me. i love animals and espiecally elephants so much i hope that they never go extinct. goodbye
493,9,thanks for talking with me. i love animals and espiecally elephants so much i hope that they never go extinct. goodbye
493,10,thanks for talking with me. i love animals and espiecally elephants so much i hope that they never go extinct. goodbye
494,6,The good news is that the animals that were rescued were able to be successfully rehabilitated.
494,7,The good news is that the animals that were rescued were able to be successfully rehabilitated.
494,8,The good news is that the animals that were rescued were able to be successfully rehabilitated.
494,9,The good news is that the animals that were rescued were able to be successfully rehabilitated.
494,10,The good news is that the animals that were rescued were able to be successfully rehabilitated.
497,6,I like how she was so proud of herself for being the first woman to pilot the fighter jet
497,7,I like how she was so proud of herself for being the first woman to pilot the fighter jet
497,8,I like how she was so proud of herself for being the first woman to pilot the fighter jet
497,9,I like how she was so proud of herself for being the first woman to pilot the fighter jet
497,10,I like how she was so proud of herself for being the first woman to pilot the fighter jet
498,6,I like how she was so proud of herself for being the first woman to pilot the fighter jet
498,7,I like how she was so proud of herself for being the first woman to pilot the fighter jet
498,8,I like how she was so proud of herself for being the first woman to pilot the fighter jet
498,9,I like how she was so proud of herself for being the first woman to pilot the fighter jet
498,10,I like how she was so proud of herself for being the first woman to pilot the fighter jet
499,6,I like how she was so proud of herself for being the first woman to pilot the fighter jet
499,7,I like how she was so proud of herself for being the first woman to pilot the fighter jet
499,8,I like how she was so proud of herself for being the first woman to pilot the fighter jet
499,9,I like how she was so proud of herself for being the first woman to pilot the fighter jet
499,10,I like how she was so proud of herself for being the first woman to pilot the fighter jet
500,6,I like how she was so proud of herself for being the first woman to pilot the fighter jet
500,7,I like how she was so proud of herself for being the first woman to pilot the fighter jet
500,8,I like how she was so proud of herself for being the first woman to pilot the fighter jet
500,9,I like how she was so proud of herself for being the first woman to pilot the fighter jet
500,10,I like how she was so proud of herself for being the first woman to pilot the fighter jet
506,6,"Yup. Anyway, it was really nice of France to welcome Christians that feared going back to Mosul."
506,7,"Yup. Anyway, it was really nice of France to welcome Christians that feared going back to Mosul."
506,8,"Yup. Anyway, it was really nice of France to welcome Christians that feared going back to Mosul."
506,9,"Yup. Anyway, it was really nice of France to welcome Christians that feared going back to Mosul."
506,10,"Yup. Anyway, it was really nice of France to welcome Christians that feared going back to Mosul."
507,6,"Definitely, i hopefully the owner is able to find peace. At the end of the article it seems like she is coming to terms with it being an accident"
507,7,"Definitely, i hopefully the owner is able to find peace. At the end of the article it seems like she is coming to terms with it being an accident"
507,8,"Definitely, i hopefully the owner is able to find peace. At the end of the article it seems like she is coming to terms with it being an accident"
507,9,"Definitely, i hopefully the owner is able to find peace. At the end of the article it seems like she is coming to terms with it being an accident"
507,10,"Definitely, i hopefully the owner is able to find peace. At the end of the article it seems like she is coming to terms with it being an accident"
513,6,I agree. I like the part of the article saying that the UN needs to address the root of the problem. Lets make this countries better so people do not need or want to leave.
513,7,I agree. I like the part of the article saying that the UN needs to address the root of the problem. Lets make this countries better so people do not need or want to leave.
513,8,I agree. I like the part of the article saying that the UN needs to address the root of the problem. Lets make this countries better so people do not need or want to leave.
513,9,I agree. I like the part of the article saying that the UN needs to address the root of the problem. Lets make this countries better so people do not need or want to leave.
513,10,I agree. I like the part of the article saying that the UN needs to address the root of the problem. Lets make this countries better so people do not need or want to leave.
514,6,It's kind of inspiring how so many people with different religious backgrounds seemed to be living in relative peace before the Islamic State showed up.
514,7,It's kind of inspiring how so many people with different religious backgrounds seemed to be living in relative peace before the Islamic State showed up.
514,8,It's kind of inspiring how so many people with different religious backgrounds seemed to be living in relative peace before the Islamic State showed up.
514,9,It's kind of inspiring how so many people with different religious backgrounds seemed to be living in relative peace before the Islamic State showed up.
514,10,It's kind of inspiring how so many people with different religious backgrounds seemed to be living in relative peace before the Islamic State showed up.
515,6,What do you think about the article?
515,7,What do you think about the article?
515,8,What do you think about the article?
515,9,What do you think about the article?
515,10,What do you think about the article?
516,6,What do you think about the article?
516,7,What do you think about the article?
516,8,What do you think about the article?
516,9,What do you think about the article?
516,10,What do you think about the article?
517,6,"Yeah, thank god they've basically been beaten. ISIS has lost nearly all of the land that they controlled in prior years."
517,7,"Yeah, thank god they've basically been beaten. ISIS has lost nearly all of the land that they controlled in prior years."
517,8,"Yeah, thank god they've basically been beaten. ISIS has lost nearly all of the land that they controlled in prior years."
517,9,"Yeah, thank god they've basically been beaten. ISIS has lost nearly all of the land that they controlled in prior years."
517,10,"Yeah, thank god they've basically been beaten. ISIS has lost nearly all of the land that they controlled in prior years."
518,6,Let's hope things improve in the future for both humans and animals. It was nice talking to you! bye
518,7,Let's hope things improve in the future for both humans and animals. It was nice talking to you! bye
518,8,Let's hope things improve in the future for both humans and animals. It was nice talking to you! bye
518,9,Let's hope things improve in the future for both humans and animals. It was nice talking to you! bye
518,10,Let's hope things improve in the future for both humans and animals. It was nice talking to you! bye
519,6,What do you think about the article?
519,7,What do you think about the article?
519,8,What do you think about the article?
519,9,What do you think about the article?
519,10,What do you think about the article?
520,6,"That sounds like a good solution. I'm hoping that the article was a bit old and migrants aren't drowning as often now-a-days. It was nice talking to you, have a good night. bye"
520,7,"That sounds like a good solution. I'm hoping that the article was a bit old and migrants aren't drowning as often now-a-days. It was nice talking to you, have a good night. bye"
520,8,"That sounds like a good solution. I'm hoping that the article was a bit old and migrants aren't drowning as often now-a-days. It was nice talking to you, have a good night. bye"
520,9,"That sounds like a good solution. I'm hoping that the article was a bit old and migrants aren't drowning as often now-a-days. It was nice talking to you, have a good night. bye"
520,10,"That sounds like a good solution. I'm hoping that the article was a bit old and migrants aren't drowning as often now-a-days. It was nice talking to you, have a good night. bye"
521,6,It's kind of inspiring how so many people with different religious backgrounds seemed to be living in relative peace before the Islamic State showed up.
521,7,It's kind of inspiring how so many people with different religious backgrounds seemed to be living in relative peace before the Islamic State showed up.
521,8,It's kind of inspiring how so many people with different religious backgrounds seemed to be living in relative peace before the Islamic State showed up.
521,9,It's kind of inspiring how so many people with different religious backgrounds seemed to be living in relative peace before the Islamic State showed up.
521,10,It's kind of inspiring how so many people with different religious backgrounds seemed to be living in relative peace before the Islamic State showed up.
522,6,"Yup. Anyway, it was really nice of France to welcome Christians that feared going back to Mosul."
522,7,"Yup. Anyway, it was really nice of France to welcome Christians that feared going back to Mosul."
522,8,"Yup. Anyway, it was really nice of France to welcome Christians that feared going back to Mosul."
522,9,"Yup. Anyway, it was really nice of France to welcome Christians that feared going back to Mosul."
522,10,"Yup. Anyway, it was really nice of France to welcome Christians that feared going back to Mosul."
523,6,And I think the company should pay some sort of compensation
523,7,And I think the company should pay some sort of compensation
523,8,And I think the company should pay some sort of compensation
523,9,And I think the company should pay some sort of compensation
523,10,And I think the company should pay some sort of compensation
525,6,What do you think about the article?
525,7,What do you think about the article?
525,8,What do you think about the article?
525,9,What do you think about the article?
525,10,What do you think about the article?
526,6,"Yup. Anyway, it was really nice of France to welcome Christians that feared going back to Mosul."
526,7,"Yup. Anyway, it was really nice of France to welcome Christians that feared going back to Mosul."
526,8,"Yup. Anyway, it was really nice of France to welcome Christians that feared going back to Mosul."
526,9,"Yup. Anyway, it was really nice of France to welcome Christians that feared going back to Mosul."
526,10,"Yup. Anyway, it was really nice of France to welcome Christians that feared going back to Mosul."
530,6,"me too, i will continue to do all i can as well to support peace"
530,7,"me too, i will continue to do all i can as well to support peace"
530,8,"me too, i will continue to do all i can as well to support peace"
530,9,"me too, i will continue to do all i can as well to support peace"
530,10,"me too, i will continue to do all i can as well to support peace"
531,6,"Yup. Anyway, it was really nice of France to welcome Christians that feared going back to Mosul."
531,7,"Yup. Anyway, it was really nice of France to welcome Christians that feared going back to Mosul."
531,8,"Yup. Anyway, it was really nice of France to welcome Christians that feared going back to Mosul."
531,9,"Yup. Anyway, it was really nice of France to welcome Christians that feared going back to Mosul."
531,10,"Yup. Anyway, it was really nice of France to welcome Christians that feared going back to Mosul."
